,Token Name,Address,Address Url,Crypto Type,Time Stamp,Max Supply,# of Holder,Transfers,Decimals,Token Type,Price,Market Cap,VolumeTwentyFour,Circulating Supply,Exchanges
41,Tezos,,,,01/06/2021 16:54:11,877.91 million,,,N/A,Common,3.60,3.16 billion,162.77 million,877.91 million,"Binance,OKEx,Coinbase Pro,Huobi Global,DigiFinex,Kraken,Kucoin,Bitfinex,Gate.io,Bittrex"
42,IOTA,,,,01/06/2021 16:54:13,2.78 billion,,,N/A,Common,1.10,3.07 billion,71.66 million,2.78 billion,"Binance,OKEx,Huobi Global,Bitvavo,Bitpanda,Gate.io,Liquid,HitBTC,DragonEx,PayRue"
43,FTX Token,,,,01/06/2021 16:54:15,338.26 million,,,N/A,Common,33.17,2.90 billion,102.15 million,87.38 million,"FTX,Binance,Bitfinex,AscendEX (BitMax),CoinEx"
44,Huobi Token,,,,01/06/2021 16:54:16,500.00 million,,,N/A,Common,15.60,2.70 billion,459.30 million,173.25 million,"Huobi Global,Gate.io,FTX,Kucoin,Uniswap v2,EtherFlyer,Bitwired,BitMart,WTZ Exchange,BiKi"
45,SUSHI,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,https://etherscan.io/token/0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,Etherium,01/06/2021 16:54:32,222.25 million,52056 ( 0.061%),2147057,N/A,Common,11.77,2.59 billion,393.28 million,220.41 million,"Binance,Huobi Global,OKEx,SushiSwap,Coinbase Pro,FTX,DigiFinex,Bitfinex,Gate.io,Kucoin,Atomars,CoinJar,ZB,BTSE,Kyber Network,CoinEx,LBank,NovaDAX,OceanEx,BitBay"
46,Algorand,,,,01/06/2021 16:54:34,10.00 billion,,,N/A,Common,0.8905,2.49 billion,96.29 million,2.79 billion,"Binance,Coinbase Pro,OKEx,Huobi Global,Kucoin,CoinList,Kraken,Exmo,Gate.io,Crypto.com"
47,BitTorrent,1002000,https://tronscan.org/#/address/1002000,Unknown,01/06/2021 16:54:51,990.00 billion,,,N/A,Common,0.00372,2.45 billion,508.35 million,659.95 billion,"Huobi Global,Binance,DigiFinex,OKEx,Kucoin,Bithumb Global,Gate.io,Bittrex,Upbit,Bitrue"
48,Crypto.com Chain,,,,01/06/2021 16:54:53,100.00 billion,,,N/A,Common,0.1214,2.43 billion,71.95 million,20.05 billion,"OKEx,Crypto.com,Upbit,Huobi Global,Bitcoin.com,Bittrex,DigiFinex,Kucoin,Gate.io,Bithumb"
49,THORChain,,,,01/06/2021 16:54:55,461.67 million,,,N/A,Common,11.39,2.43 billion,121.40 million,213.54 million,"Binance,FTX,Bithumb Global,SushiSwap,Uniswap v2,Gate.io,Binance DEX,Bilaxy,CoinTiger,ProBit"
50,Avalanche,,,,01/06/2021 16:54:57,384.41 million,,,N/A,Common,17.58,2.29 billion,78.88 million,130.25 million,"Binance,OKEx,DigiFinex,Huobi Global,Kucoin,Gate.io,Crypto.com,Bittrex,WazirX,Bitfinex"
