,Token Name,Address,Address Url,Crypto Type,Time Stamp,Max Supply,# of Holder,Transfers,Decimals,Token Type,Price,Market Cap,VolumeTwentyFour,Circulating Supply,Exchanges,CoinRankUrl
62,Elrond,,,,21/06/2021 21:29:12,20.40 million,,,N/A,Common,69.62,1.21 billion,53.73 million,17.44 million,"Binance,OKEx,Bithumb Global,Crypto.com,Bitfinex,Gate.io,Indodax,WazirX,Liquid,Bilaxy",https://coinranking.com/coin/omwkOTglq+elrond-egld
63,TrueUSD,0x0000000000085d4780B73119b644AE5ecd22b376,https://etherscan.io/token/0x0000000000085d4780B73119b644AE5ecd22b376,Etherium,21/06/2021 21:29:24,1.20 billion,46118 (0.00%),1211542,N/A,Common,1.00,1.20 billion,73.41 million,1.20 billion,"Changelly PRO,Bitcoin.com,Bittrex,BitMart,Uniswap v2,DigiFinex,Kucoin,OKEx,SushiSwap,Huobi Global",https://coinranking.com/coin/1ZZI6g5k5royD+trueusd-tusd
64,yearn.finance,,,,21/06/2021 21:29:26,"36,666.00",,,N/A,Common,"30,290.87",1.11 billion,252.98 million,"36,635.44","Binance,Huobi Global,OKEx,Coinbase Pro,SushiSwap,BitMart,Bithumb,DigiFinex,Kraken,FTX,Nominex.io,Folgory,BeQuant,HitBTC,CoinEx,BitoPro,ProBit,BTCAlpha,Kyber Network,CoinDCX",https://coinranking.com/coin/dYuh_N0n1+yearnfinance-yfi
65,Holo,0x6c6ee5e31d828de241282b9606c8e98ea48526e2,https://etherscan.io/token/0x6c6ee5e31d828de241282b9606c8e98ea48526e2,Etherium,21/06/2021 21:29:36,177.62 billion,107750 (0.00%),698904,N/A,Common,0.00621,1.10 billion,22.71 million,177.62 billion,"Indodax,Uniswap v2,THORChain,Bitrue,Bitladon",https://coinranking.com/coin/iEHCPwcxoIH8e+holo-hot
66,Synthetix Network,,,,21/06/2021 21:29:39,228.54 million,,,N/A,Common,6.68,1.06 billion,77.83 million,158.41 million,"Binance,OKEx,Coinbase Pro,Huobi Global,SushiSwap,DigiFinex,BitMart,Kucoin,Kraken,Bithumb,IndependentReserve,Polarity.Exchange,Bitladon,tokenize,Honeyswap,HitBTC,Dove Wallet,Atomars,Brexily",https://coinranking.com/coin/sgxZRXbK0FDc+synthetixnetwork-snx
67,Decentraland,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942,Etherium,21/06/2021 21:29:50,2.19 billion,103279 (0.00%),1188458,N/A,Common,0.4706,1.03 billion,85.70 million,2.19 billion,"Upbit,Binance,Coinbase Pro,BitMart,Bithumb,Huobi Global,OKEx,DigiFinex,Kraken,Uniswap v2,Bitrue,tokenize,Atomars,Lykke,Brexily",https://coinranking.com/coin/tEf7-dnwV3BXS+decentraland-mana
68,Helium,,,,21/06/2021 21:29:51,91.86 million,,,N/A,Common,11.08,1.02 billion,17.51 million,91.86 million,"Binance,FTX,Gate.io,WazirX,BKEX,Bilaxy,Hotbit",https://coinranking.com/coin/rGDiacWtB+helium-hnt
69,The Graph,,,,21/06/2021 21:29:52,10.13 billion,,,N/A,Common,0.5282,1.00 billion,86.39 million,1.90 billion,"Binance,Coinbase Pro,OKEx,Bitcoin.com,Bilaxy,Coineal,MXC,BTCAlpha,Folgory,Polarity.Exchange",https://coinranking.com/coin/qhd1biQ7M+thegraph-grt
70,Bitpanda Ecosystem Token,,,,21/06/2021 21:29:54,860.46 million,,,N/A,Common,1.14,977.99 million,"694,695",860.46 million,Bitpanda,https://coinranking.com/coin/Uzf_Wjqc+bitpandaecosystemtoken-best
71,Zilliqa,,,,21/06/2021 21:29:55,21.00 billion,,,N/A,Common,0.0752,951.33 million,140.55 million,12.66 billion,"Binance,OKEx,DigiFinex,Upbit,Huobi Global,Changelly PRO,Bitvavo,Kucoin,BitMart,CEX.io",https://coinranking.com/coin/3jmxrjOJ8xa4p+zilliqa-zil
72,SKALE,,,,21/06/2021 21:29:57,4.28 billion,,,N/A,Common,0.2190,936.59 million,40.13 million,4.28 billion,"Binance,Coinbase Pro,Huobi Global,OKEx,DigiFinex,BitMart,Uniswap v2,CoinList,Gemini,Gate.io",https://coinranking.com/coin/jZyh6ZQup+skale-skl
73,USDi0,,,,21/06/2021 21:29:58,10.10 billion,,,N/A,Common,0.8849,885.06 million,17.20 million,1.00 billion,Dexzbitz,https://coinranking.com/coin/mBiziipm+usdi0-usdi
74,Nexo,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,https://etherscan.io/token/0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,Etherium,21/06/2021 21:30:08,1.00 billion,93846 (0.00%),589831,N/A,Common,1.32,853.69 million,17.68 million,646.15 million,"Huobi Global,BitMart,Uniswap v2,Binance DEX,Hotbit,BeQuant,HitBTC,ProBit,MERCATOX,BKEX",https://coinranking.com/coin/Hi6jNXshVh9FA+nexo-nexo
75,Telcoin,0x467bccd9d29f223bce8043b84e8c8b282827790f,https://etherscan.io/token/0x467bccd9d29f223bce8043b84e8c8b282827790f,Etherium,21/06/2021 21:30:20,100.00 billion,41973 (0.00%),-,N/A,Common,0.02319,805.97 million,35.73 million,34.75 billion,"Kucoin,Uniswap v2,Bilaxy,Bitladon,Bitrue,HitBTC",https://coinranking.com/coin/DDZt-yKX1Fo7U+telcoin-tel
76,Basic Attention Token,,,,21/06/2021 21:30:22,1.50 billion,,,N/A,Common,0.5206,779.39 million,105.56 million,1.50 billion,"Binance,BitMart,OKEx,Coinbase Pro,Upbit,Huobi Global,Kraken,DigiFinex,Changelly PRO,Bitcoin.com,Catex,ABCC,Coinmargin,BiKi,BitUBU,Bibox,KickEX,Bitso,AscendEX (BitMax),MXC",https://coinranking.com/coin/pOnT-qfd-RN7W+basicattentiontoken-bat
77,Paxos Standard,,,,21/06/2021 21:30:23,764.40 million,,,N/A,Common,0.9990,763.62 million,55.79 million,764.40 million,"Binance,BitMart,Bitfinex,OKEx,DigiFinex,Upbit,Bithumb Global,Bitstamp,Huobi Global,Kucoin",https://coinranking.com/coin/B8xT718SbVhhh+paxosstandard-pax
78,NEM,,,,21/06/2021 21:30:25,9.00 billion,,,N/A,Common,0.1066,754.67 million,133.80 million,7.08 billion,"Binance,OKEx,Upbit,Bitcoin.com,Huobi Global,DigiFinex,Bithumb,Kucoin,BitMart,Bittrex",https://coinranking.com/coin/DZtb-6X8yCx0h+nem-xem
79,NEAR Protocol,,,,21/06/2021 21:30:26,318.56 million,,,N/A,Common,2.31,736.11 million,65.46 million,318.56 million,"Binance,OKEx,Huobi Global,Bitfinex,Upbit,Gate.io,Crypto.com,SushiSwap,WazirX,Bilaxy",https://coinranking.com/coin/DCrsaMv68+nearprotocol-near
80,Enjin Coin,,,,21/06/2021 21:30:28,1.00 billion,,,N/A,Common,0.9559,727.57 million,180.91 million,761.16 million,"Binance,DigiFinex,OKEx,Upbit,Coinbase Pro,Huobi Global,Bithumb,Bitvavo,Kucoin,BitMart",https://coinranking.com/coin/hG9iQlgtdwCvc+enjincoin-enj
81,XinFin Network,,,,21/06/2021 21:30:29,37.67 billion,,,N/A,Common,0.0592,727.14 million,6.56 million,12.27 billion,"Bitfinex,Liquid,Bitrue,STEX,MERCATOX,Hotbit,ProBit",https://coinranking.com/coin/77jGXSqWJ1ofG+xinfinnetwork-xdc
82,HUSD,0xdf574c24545e5ffecb9a659c229253d4111d87e1,https://etherscan.io/token/0xdf574c24545e5ffecb9a659c229253d4111d87e1,Etherium,21/06/2021 21:30:39,661.96 million,7441 (0.00%),177129,N/A,Common,0.9941,658.07 million,170.78 million,661.96 million,"Huobi Global,Gate.io,Uniswap v2,LBank,Brexily,BiKi,Honeyswap,Hotbit",https://coinranking.com/coin/0ossbC-EnOSY+husd-husd
83,Bancor,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,https://etherscan.io/token/0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,Etherium,21/06/2021 21:30:49,213.50 million,38418 (0.00%),3764203,N/A,Common,3.06,653.61 million,64.15 million,213.50 million,"Bancor,Binance,OKEx,Coinbase Pro,DigiFinex,Huobi Global,FTX,Crypto.com,Bittrex,Uniswap v2",https://coinranking.com/coin/oMBtIfxSwJO52+bancor-bnt
84,Pirate Chain,,,,21/06/2021 21:30:51,200.00 million,,,N/A,Common,3.57,652.71 million,6.78 million,183.08 million,"Gate.io,Bitcoin.com,Changelly PRO,DigiFinex,TradeOgre,CoinEx,Bilaxy,HitBTC,Polarity.Exchange,TN DEX",https://coinranking.com/coin/Qo9Pks_KiZwQ+piratechain-arrr
85,Bitcoin Gold,,,,21/06/2021 21:30:52,17.46 million,,,N/A,Common,36.70,637.04 million,68.12 million,17.36 million,"Upbit,OKEx,Bithumb,Binance,Changelly PRO,Exmo,Gate.io,Bitfinex,Indodax,Coinone",https://coinranking.com/coin/1rnjJ1rInKP5K+bitcoingold-btg
86,Nano,,,,21/06/2021 21:30:54,133.25 million,,,N/A,Common,4.77,635.44 million,49.97 million,133.25 million,"Binance,OKEx,Kraken,Huobi Global,DigiFinex,Kucoin,Bitvavo,Gate.io,Crypto.com,WazirX",https://coinranking.com/coin/rcob7NHLyEr3p+nano-nano
87,Revain,0x2ef52Ed7De8c5ce03a4eF0efbe9B7450F2D7Edc9,https://etherscan.io/token/0x2ef52Ed7De8c5ce03a4eF0efbe9B7450F2D7Edc9,Etherium,21/06/2021 21:31:05,60.55 billion,89547 (0.00%),104676,N/A,Common,0.01032,624.62 million,1.82 million,60.55 billion,"Kucoin,BitMart,Bittrex,DigiFinex,ProBit,Nominex.io,Dex-Trade,CREX24,MERCATOX,BTCAlpha",https://coinranking.com/coin/bu0VTIyFnnh1u+revain-rev
88,CUSDT,,,,21/06/2021 21:31:07,28.74 billion,,,N/A,Common,0.02122,609.89 million,8.05 million,28.74 billion,"Compound,Poloniex,FTX",https://coinranking.com/coin/93F-_ECjpVaB+cusdt-cusdt
89,ZKSwap,0xe4815ae53b124e7263f08dcdbbb757d41ed658c6,https://etherscan.io/token/0xe4815ae53b124e7263f08dcdbbb757d41ed658c6,Etherium,21/06/2021 21:31:17,1.00 billion,8259,121476,N/A,Common,0.7676,591.07 million,83.64 million,770.00 million,"Huobi Global,Gate.io,Uniswap v2,Bilaxy,CoinTiger,Hotbit,HitBTC",https://coinranking.com/coin/ttqANYhU6+zkswap-zks
90,Quant,0x4a220e6096b25eadb88358cb44068a3248254675,https://etherscan.io/token/0x4a220e6096b25eadb88358cb44068a3248254675,Etherium,21/06/2021 21:31:28,14.61 million,18763 (0.00%),320698,N/A,Common,59.78,584.50 million,9.33 million,9.78 million,"Kucoin,Bithumb Global,Uniswap v2,Bittrex,Gate.io,Hotbit,Bilaxy,Bitrue,Kyber Network,Bitladon",https://coinranking.com/coin/bauj_21eYVwso+quant-qnt
91,Venus,0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,https://bscscan.com/token/0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,Binance,21/06/2021 21:31:39,30.00 million,37295,2785261,N/A,Common,19.35,580.47 million,65.90 million,30.00 million,"Binance,DigiFinex,Bithumb,Gate.io,Bithumb Global,Bitcoin.com,AEX,Nami,CoinTiger,BiKi",https://coinranking.com/coin/Zh6GuvF8Zu-+venus-xvs
92,Blockstack,,,,21/06/2021 21:31:41,1.35 billion,,,N/A,Common,0.6229,571.83 million,25.09 million,918.02 million,"Binance,Upbit,OKEx,Kucoin,OKCoin,Gate.io,TOKOK,CoinEx",https://coinranking.com/coin/mMPrMcB7+blockstack-stx
93,QTUM,,,,21/06/2021 21:31:43,103.50 million,,,N/A,Common,5.55,574.04 million,275.68 million,103.50 million,"Binance,OKEx,Upbit,BitMart,Huobi Global,Bitcoin.com,Bithumb,DigiFinex,Gate.io,Coinone,TradeOgre,CREX24,Atomars,Brexily",https://coinranking.com/coin/bOm0xKUuDvCUu+qtum-qtum
94,DigiByte,,,,21/06/2021 21:31:44,14.42 billion,,,N/A,Common,0.0397,572.55 million,42.68 million,14.42 billion,"Binance,OKEx,Bittrex,Changelly PRO,Bitcoin.com,DigiFinex,BitMart,Kucoin,Bitvavo,Upbit",https://coinranking.com/coin/q9yo3-QDbH-lM+digibyte-dgb
95,Rally,0xf1f955016EcbCd7321c7266BccFB96c68ea5E49b,https://etherscan.io/token/0xf1f955016EcbCd7321c7266BccFB96c68ea5E49b,Etherium,21/06/2021 21:31:55,15.00 billion,4797,104249,N/A,Common,0.6440,558.71 million,7.34 million,867.55 million,"BitMart,Uniswap v2,Bithumb,Gate.io,Kucoin,Crypto.com,AEX,MXC,Hotbit,BiKi",https://coinranking.com/coin/ymrUBSLfa+rally-rly
96,Curve DAO Token,,,,21/06/2021 21:31:56,1.53 billion,,,N/A,Common,1.52,544.33 million,107.28 million,357.02 million,"Binance,OKEx,Gate.io,SushiSwap,Uniswap v2,Kraken,CEX.io,Waves.Exchange,Upbit,Bittrex",https://coinranking.com/coin/QGbUTVMjG+curvedaotoken-crv
97,UMA,0x04Fa0d235C4abf4BcF4787aF4CF447DE572eF828,https://etherscan.io/token/0x04Fa0d235C4abf4BcF4787aF4CF447DE572eF828,Etherium,21/06/2021 21:32:07,103.55 million,14351 (0.00%),301123,N/A,Common,8.74,538.81 million,27.73 million,61.62 million,"Binance,Coinbase Pro,BitMart,OKEx,Huobi Global,SushiSwap,DigiFinex,Bithumb,Bitstamp,Uniswap v2",https://coinranking.com/coin/6Cnl5FOCZ+uma-uma
98,0x,0xe41d2489571d322189246dafa5ebde1f4699f498,https://etherscan.io/token/0xe41d2489571d322189246dafa5ebde1f4699f498,Etherium,21/06/2021 21:32:18,1.00 billion,185330 (0.00%),1998312,N/A,Common,0.6265,529.55 million,86.18 million,845.23 million,"Binance,BitMart,OKEx,Coinbase Pro,Huobi Global,Upbit,DigiFinex,Bitfinex,Bithumb,Bitstamp,LATOKEN,Hotbit,Coineal,Bitwired,CoinField,Kyber Network,RightBTC,Nominex.io,Dex-Trade,CoinEx",https://coinranking.com/coin/jWvjEFGAtnhWN+0x-zrx
99,KuCoin Token,,,,21/06/2021 21:32:19,168.94 million,,,N/A,Common,6.35,501.04 million,20.70 million,78.94 million,"Kucoin,Poloniex,MXC",https://coinranking.com/coin/LOO6LmXd7G84Z+kucointoken-kcs
100,OMG Network,,,,21/06/2021 21:32:21,140.25 million,,,N/A,Common,3.56,499.15 million,255.35 million,140.23 million,"Binance,OKEx,Bitcoin.com,Huobi Global,BitMart,Coinbase Pro,Upbit,DigiFinex,Bitstamp,Kraken,LATOKEN,Bitkub,TOKOK,Folgory,MXC,MERCATOX,Bitrue,Nominex.io,BiKi,CoinField",https://coinranking.com/coin/_tpssiAXwrHfr+omgnetwork-omg
101,Universal Money Instrument,,,,21/06/2021 21:32:22,229.71 million,,,N/A,Common,2.17,497.45 million,2.45 million,229.71 million,SIGEN.pro,https://coinranking.com/coin/7jQZMFopX+universalmoneyinstrument-umi
102,Siacoin,,,,21/06/2021 21:32:24,44.97 billion,,,N/A,Common,0.01032,496.18 million,85.25 million,48.09 billion,"Binance,OKEx,Upbit,Kraken,Huobi Global,Bitcoin.com,Bittrex,DigiFinex,Poloniex,Gate.io",https://coinranking.com/coin/y9op7QPvbLERt+siacoin-sc
103,1inch Token,,,,21/06/2021 21:32:25,1.50 billion,,,N/A,Common,2.74,496.20 million,180.69 million,180.99 million,"Binance,OKEx,Huobi Global,Coinbase Pro,Gate.io,DigiFinex,Kucoin,1inch,FTX,BitMart",https://coinranking.com/coin/lD9digIOk+1inchtoken-1inch
104,Cryptonex,,,,21/06/2021 21:32:27,100.00 million,,,N/A,Common,4.95,494.96 million,1.68 million,100.00 million,Cryptonex,https://coinranking.com/coin/PZLtXypWXRmQ7+cryptonex-cnx
105,Ravencoin,,,,21/06/2021 21:32:29,21.00 billion,,,N/A,Common,0.0528,477.60 million,53.96 million,9.04 billion,"Binance,OKEx,Upbit,DigiFinex,Huobi Global,Bittrex,Bitvavo,Gate.io,Indodax,LiteBit",https://coinranking.com/coin/Ru56fDlLB56-v+ravencoin-rvn
106,Livepeer,,,,21/06/2021 21:32:30,23.72 million,,,N/A,Common,19.92,472.51 million,21.38 million,23.72 million,"Binance,OKEx,Bithumb,Poloniex,Gate.io,Gemini,Kraken,SushiSwap,Uniswap v2,Bilaxy",https://coinranking.com/coin/9JXKKzXYmIQ7E+livepeer-lpt
107,WazirX,,,,21/06/2021 21:32:32,985.55 million,,,N/A,Common,1.11,468.40 million,40.80 million,420.63 million,"Binance,WazirX,Gate.io,FTX,Poloniex,Bitcoin.com,BitMart,Bilaxy,Nami,HitBTC",https://coinranking.com/coin/6QK-8hUZ+wazirx-wrx
108,GateToken,0xe66747a101bff2dba3697199dcce5b743b454759,https://etherscan.io/token/0xe66747a101bff2dba3697199dcce5b743b454759,Etherium,21/06/2021 21:32:43,300.00 million,2448,39623,N/A,Common,2.76,457.59 million,15.23 million,165.70 million,"Gate.io,Huobi Global,Bitfinex,FTX,LBank",https://coinranking.com/coin/t7m8DZVyMsAu+gatetoken-gt
109,Gas,,,,21/06/2021 21:32:45,100.00 million,,,N/A,Common,4.54,437.23 million,14.24 million,96.26 million,"Upbit,Binance,OKEx,Huobi Global,Bitvavo,DigiFinex,Gate.io,CEX.io,Kucoin,Exmo",https://coinranking.com/coin/hfw0nnnLtSFc7+gas-gas
110,CumRocket,0x27Ae27110350B98d564b9A3eeD31bAeBc82d878d,https://bscscan.com/token/0x27Ae27110350B98d564b9A3eeD31bAeBc82d878d,Binance,21/06/2021 21:32:55,9.61 billion,131814,514461,N/A,Common,0.0453,435.41 million,"815,731",9.61 billion,"DigiFinex,PancakeSwap,CoinTiger,Bilaxy",https://coinranking.com/coin/OTgNoc60f+cumrocket-cummies
111,ICON,,,,21/06/2021 21:32:57,800.46 million,,,N/A,Common,0.7823,409.80 million,84.94 million,523.83 million,"Binance,OKEx,Bitcoin.com,Upbit,Bitvavo,Kraken,Huobi Global,Bithumb,Crypto.com,Bittrex",https://coinranking.com/coin/U70EVFnDc6diV+icon-icx
112,IOST,,,,21/06/2021 21:32:58,22.59 billion,,,N/A,Common,0.01810,408.91 million,133.33 million,22.59 billion,"Binance,OKEx,Huobi Global,DigiFinex,Upbit,Bithumb,BitMart,Kucoin,Bitvavo,WazirX",https://coinranking.com/coin/LzC3fE0mO8okP+iost-iost
113,Ontology,,,,21/06/2021 21:33:00,1.00 billion,,,N/A,Common,0.6409,408.51 million,167.97 million,637.35 million,"Binance,OKEx,Bitcoin.com,BitMart,Huobi Global,Upbit,DigiFinex,Gate.io,Bithumb,Bitvavo",https://coinranking.com/coin/itpeyyriqoiG2+ontology-ont
114,Ankr,0x8290333cef9e6d528dd5618fb97a76f268f3edd4,https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4,Etherium,21/06/2021 21:33:11,10.00 billion,26408 (0.00%),340207,N/A,Common,0.0593,402.20 million,49.29 million,6.79 billion,"Coinbase Pro,Binance,Upbit,Huobi Global,DigiFinex,Bithumb,Kucoin,Crypto.com,Gate.io,Kraken",https://coinranking.com/coin/drWC87t2Vozh+ankr-ankr
115,USD Neutrino,,,,21/06/2021 21:33:12,397.03 million,,,N/A,Common,0.9944,394.79 million,13.83 million,397.03 million,"Waves.Exchange,Kucoin,Uniswap v2,Bittrex,MXC,Tidex,Hotbit",https://coinranking.com/coin/RzGVuiI5+usdneutrino-usdn
116,Verge,,,,21/06/2021 21:33:14,16.46 billion,,,N/A,Common,0.02301,378.81 million,55.89 million,16.46 billion,"Binance,Bitcoin.com,Bitvavo,Bittrex,WazirX,Bitfinex,Gate.io,Huobi Global,LiteBit,HitBTC",https://coinranking.com/coin/NXEHA2s6QvTyd+verge-xvg
117,renBTC,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,https://etherscan.io/token/0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,Etherium,21/06/2021 21:33:25,"10,621.58",2831 (0.00%),253664,N/A,Common,"32,990.45",350.41 million,3.98 million,"10,621.58","Curve,Uniswap v2,Gate.io,Binance,CEX.io,Bittrex,Kyber Network,Honeyswap,Hotbit",https://coinranking.com/coin/45H4HIbe2+renbtc-renbtc
118,Tokenize Xchange,,,,21/06/2021 21:33:26,100.00 million,,,N/A,Common,4.08,326.58 million,10.98 million,80.00 million,tokenize,https://coinranking.com/coin/frw2fHgZ+tokenizexchange-tkx
119,Ultra,0xd13c7342e1ef687c5ad21b27c2b65d772cab5c8c,https://etherscan.io/token/0xd13c7342e1ef687c5ad21b27c2b65d772cab5c8c,Etherium,21/06/2021 21:33:36,1.00 billion,8543 (0.00%),74753,N/A,Common,0.4041,326.76 million,3.24 million,808.62 million,"Kucoin,Bitfinex,Uniswap v2,Gate.io,Coinone,AEX,AscendEX (BitMax),Bitrue",https://coinranking.com/coin/bjb5p_MJm+ultra-uos
120,Nervos Network,,,,21/06/2021 21:33:38,32.57 billion,,,N/A,Common,0.01201,321.47 million,24.88 million,26.76 billion,"Binance,Huobi Global,Bithumb,Kucoin,Gate.io,Indodax,WazirX,Bithumb Global,Bittrex,Crypto.com",https://coinranking.com/coin/BgL4kP0ws+nervosnetwork-ckb
121,Bitcoin Diamond,,,,21/06/2021 21:33:39,156.76 million,,,N/A,Common,2.04,313.22 million,17.81 million,153.76 million,"Binance,OKEx,Bithumb,Huobi Global,Indodax,Gate.io,Kucoin,ZB Global,LATOKEN,ProBit",https://coinranking.com/coin/wPUcJNw024C_y+bitcoindiamond-bcd
122,Horizen,,,,21/06/2021 21:33:41,21.00 million,,,N/A,Common,59.43,307.00 million,85.37 million,5.17 million,"Binance,Huobi Global,OKEx,DigiFinex,Changelly PRO,Bitcoin.com,Gate.io,Bithumb Global,Kucoin,Bittrex",https://coinranking.com/coin/5Qp1OINA8ABad+horizen-zen
123,Numeraire,0x1776e1F26f98b1A5dF9cD347953a26dd3Cb46671,https://etherscan.io/token/0x1776e1F26f98b1A5dF9cD347953a26dd3Cb46671,Etherium,21/06/2021 21:33:51,10.97 million,34467 (0.00%),379216,N/A,Common,30.66,306.18 million,11.66 million,9.99 million,"Coinbase Pro,Binance,DigiFinex,Bittrex,Uniswap v2,OKEx,Bitvavo,Bitcoin.com,Gate.io,Upbit",https://coinranking.com/coin/3dEOkxpEKhmBT+numeraire-nmr
124,SwissBorg,0xba9d4199fab4f26efe3551d490e3821486f135ba,https://etherscan.io/token/0xba9d4199fab4f26efe3551d490e3821486f135ba,Etherium,21/06/2021 21:34:01,1.00 billion,27867 (0.00%),147352,N/A,Common,0.5261,302.97 million,4.30 million,575.82 million,"Uniswap v2,Kucoin,HitBTC,Brexily",https://coinranking.com/coin/kZPku7cAdoaXf+swissborg-chsb
125,Reserve Rights Token,,,,21/06/2021 21:34:03,100.00 billion,,,N/A,Common,0.02271,303.73 million,57.59 million,13.37 billion,"Binance,OKEx,Huobi Global,DigiFinex,BitMart,FTX,Bitvavo,Bittrex,Uniswap v2,Gate.io",https://coinranking.com/coin/hqyKex9jsK15L+reserverightstoken-rsr
126,Balancer,0xba100000625a3754423978a60c9317c58a424e3D,https://etherscan.io/token/0xba100000625a3754423978a60c9317c58a424e3D,Etherium,21/06/2021 21:34:13,42.83 million,35201 (0.00%),745895,N/A,Common,16.28,293.79 million,"219,282",18.05 million,"CEX.io,Uniswap v2,NovaDAX",https://coinranking.com/coin/dNi7Xe4uK+balancer-bal
127,Nexus Mutual Token,,,,21/06/2021 21:34:14,6.91 million,,,N/A,Common,41.41,286.21 million,1.13 million,6.91 million,BKEX,https://coinranking.com/coin/2EBnWqhsi+nexusmutualtoken-nxm
128,MaidSafe Coin,,,,21/06/2021 21:34:16,452.55 million,,,N/A,Common,0.6266,283.58 million,1.47 million,452.55 million,"Bittrex,HitBTC",https://coinranking.com/coin/oMn0Lpc4GrzXY+maidsafecoin-maid
129,Bitcoin Vault,,,,21/06/2021 21:34:17,13.08 million,,,N/A,Common,21.34,279.21 million,"270,970",13.08 million,"Bithumb Global,BitMart,Coineal,MXC,ProBit,LATOKEN,BKEX",https://coinranking.com/coin/h0XuVJXY+bitcoinvault-btcv
130,PAX Gold,,,,21/06/2021 21:34:18,"154,905.85",,,N/A,Common,"1,792.77",277.71 million,33.29 million,"154,905.85","Binance,Kraken,Uniswap v2,Crypto.com,FTX,WazirX,Bithumb Global,Indodax,Virtuse Exchange,ProBit",https://coinranking.com/coin/YRTkUcMi+paxgold-paxg
131,ECOMI,,,,21/06/2021 21:34:20,168.06 billion,,,N/A,Common,0.00161,271.12 million,2.22 million,168.06 billion,"Gate.io,Bitforex,AscendEX (BitMax)",https://coinranking.com/coin/_xNnBDfLq2pF5+ecomi-omi
132,WhiteCoin,,,,21/06/2021 21:34:22,300.00 million,,,N/A,Common,1.07,267.21 million,2.41 million,250.08 million,"Bittrex,ZB,MXC,ZB Global,BW",https://coinranking.com/coin/2SRzS3FCRUtP2+whitecoin-xwc
133,Kick Token,,,,21/06/2021 21:34:23,1.25 trillion,,,N/A,Common,0.000213,267.03 million,1.47 million,1.25 trillion,"KickEX,HitBTC,Bitcratic,STEX",https://coinranking.com/coin/F_Yv9Cu7pPL3Y+kicktoken-kick
134,Storj,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,https://etherscan.io/token/0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,Etherium,21/06/2021 21:34:34,425.00 million,83462 (0.00%),1933206,N/A,Common,0.6409,265.11 million,31.70 million,413.66 million,"Binance,DigiFinex,Coinbase Pro,BitMart,OKEx,Upbit,Huobi Global,Kraken,CEX.io,Gate.io",https://coinranking.com/coin/_NvQ_iCjZu4Ay+storj-storj
135,Lisk,,,,21/06/2021 21:34:36,144.30 million,,,N/A,Common,2.00,256.70 million,23.13 million,128.34 million,"Binance,OKEx,Upbit,Kraken,Bitvavo,Bittrex,Gate.io,Poloniex,Huobi Global,Exmo",https://coinranking.com/coin/-8WmRrc-b_6dN+lisk-lsk
136,ARMOR,0x1337def16f9b486faed0293eb623dc8395dfe46a,https://etherscan.io/token/0x1337def16f9b486faed0293eb623dc8395dfe46a,Etherium,21/06/2021 21:34:46,1.00 billion,15275 (0.00%),97657,N/A,Common,0.2540,253.96 million,"624,812",1.00 billion,"Uniswap v2,SushiSwap,Gate.io,1inch,Bilaxy,Hotbit",https://coinranking.com/coin/iOhWsmpcE+armor-armor
137,Paris Saint-Germain Fan Token,,,,21/06/2021 21:34:48,20.00 million,,,N/A,Common,11.97,239.44 million,5.60 million,20.00 million,"Binance,Gate.io,Changelly PRO,Bitcoin.com,BKEX,BiKi,HitBTC",https://coinranking.com/coin/4Xp8aCpzs+parissaint-germainfantoken-psg
138,Orchid Protocol,,,,21/06/2021 21:34:49,1.00 billion,,,N/A,Common,0.2338,233.78 million,24.78 million,1.00 billion,"Binance,Coinbase Pro,Kraken,Huobi Global,Gemini,Bithumb,OKEx,Gate.io,Bitvavo,Bittrex",https://coinranking.com/coin/Of-8L640D+orchidprotocol-oxt
139,Dent,0x3597bfd533a99c9aa083587b074434e61eb0a258,https://etherscan.io/token/0x3597bfd533a99c9aa083587b074434e61eb0a258,Etherium,21/06/2021 21:35:02,100.00 billion,66203 (0.00%),507312,N/A,Common,0.00236,232.27 million,27.52 million,98.61 billion,"Binance,Kucoin,Upbit,Gate.io,WazirX,FTX,Nami,LATOKEN,HitBTC,ZB",https://coinranking.com/coin/4UM6MucwFvYex+dent-dent
140,Chia Network,,,,21/06/2021 21:35:03,21.93 million,,,N/A,Common,246.24,229.36 million,58.76 million,"931,418.39","OKEx,Huobi Global,Gate.io,dcoin,BKEX,Coineal,AEX,MXC,ZB Global,LBank",https://coinranking.com/coin/_8gMDgV95+chianetwork-xch
